Ion;Wavelength;Unc.;Acc.
C I;373.7186;0.0005;
C I;374.0789;0.0005;
C I;374.1443;0.0005;
C I;374.2851;0.0005;
C I;375.5121;0.0005;
C I;375.6522;0.0005;
C I;375.7048;0.0005;
C I;375.7836;0.0005;
C I;376.2251;0.0005;
C I;376.3956;0.0005;
C I;379.3678;0.0005;
C II;380.272;0.01;E
C II;380.272;0.01;E
C II;380.272;0.01;E
C I;380.4305;0.0005;
C I;382.8849;0.0005;
C II;383.1743;0.0017;B
C I;383.3347;0.0005;
C II;383.573;0.0017;B
C II;383.6683;0.0017;B
C II;385.662;0.004;
C II;386.2181;0.0007;C
C II;386.8874;0.0017;C
C II;387.1669;0.0017;C+
C II;387.3067;0.0017;
C II;387.4666;0.0017;C
C II;387.6055;0.0007;B
C II;387.6187;0.0007;B+
C II;387.6408;0.0007;B+
C II;387.6664;0.0007;B
C II;387.8028;0.0007;C+
C II;387.964;0.0007;C+
C II;388.0588;0.0007;C+
C II;388.3824;0.0007;E
C II;391.8978;0.0007;B
C II;392.0693;0.0007;B
C II;392.401;0.01;E
C II;392.401;0.01;E
C II;392.401;0.01;E
C II;392.913;0.004;E
C II;392.913;0.004;E
C II;392.913;0.004;E
C I;394.2223;0.0005;
C II;394.4193;0.0007;
C II;394.5003;0.0007;C
C II;394.5197;0.002;C
C II;394.6278;0.0022;
C II;394.6429;0.0022;C
C II;394.7079;0.0007;C
C II;394.772;0.009;C
C II;394.772;0.009;
C II;394.8333;0.0007;C
C II;394.9373;0.0022;
C II;394.953;0.0022;C
C II;395.2058;0.0007;C+
C II;395.2679;0.0007;
C II;395.395;0.002;C
C I;396.1403;0.0005;
C II;396.892;0.004;
C II;396.952;0.0007;C
C II;397.039;0.004;
C II;397.039;0.004;C
C II;397.1574;0.0007;C
C II;397.244;0.004;C
C II;397.244;0.004;C
C II;397.376;0.004;C
C II;397.376;0.004;C
C II;397.5341;0.0017;C
C II;397.5953;0.0017;C
C II;397.7269;0.0017;C
C II;397.876;0.004;C
C II;397.876;0.004;C
C II;398.0323;0.0007;C+
C I;398.6879;0.001;
C I;398.6879;0.001;
C I;399.6488;0.001;
C I;399.6488;0.001;
C I;399.6966;0.0005;
C I;399.7136;0.001;
C I;399.7136;0.001;
C II;399.989;0.0007;C
C II;400.1717;0.0007;C
C I;400.2976;0.0005;
C II;400.9884;0.0007;B
C I;400.993;0.0005;
C II;401.593;0.003;E
C II;401.593;0.003;E
C II;401.593;0.003;E
C II;401.7278;0.0007;B
C II;402.1167;0.0007;B
C I;402.2115;0.0005;
C I;402.2841;0.0005;
C I;402.5221;0.0005;
C I;402.8355;0.0005;
C I;402.9413;0.0005;
C I;403.1795;0.0005;
C I;403.3228;0.0005;
C III;405.606;0.01;B
C II;405.829;0.005;C
C II;405.829;0.005;C
C II;405.829;0.005;E
C I;406.3577;0.0005;
C I;406.4271;0.0005;
C I;406.5246;0.0005;
C I;406.6752;0.0005;
C III;406.794;0.01;C+
C III;406.891;0.01;C+
C III;406.891;0.01;C+
C III;407.026;0.01;C+
C I;407.097;0.0005;
C I;407.2643;0.001;
C I;407.2643;0.001;
C I;407.3327;0.0005;
C II;407.452;0.005;C+
C II;407.452;0.005;E
C II;407.4845;0.0007;C+
C II;407.5395;0.0007;C+
C II;407.585;0.009;B
C II;407.585;0.009;E
C II;407.6142;0.0022;B
C II;407.6251;0.0022;
C II;407.6526;0.0007;C
C II;407.683;0.002;C
C II;407.763;0.004;
C II;407.763;0.004;
C II;407.7778;0.0022;C+
C I;408.2415;0.001;
C I;408.2415;0.001;
C I;408.2981;0.0005;
C I;408.3161;0.001;
C I;408.3161;0.001;
C I;414.6264;0.0005;
C I;414.6971;0.0005;
C I;414.7976;0.0005;
C I;415.3374;0.0005;
C II;415.633;0.005;C
C II;415.633;0.005;C
C II;415.633;0.005;E
C I;415.834;0.02;
C III;416.286;0.01;C+
C III;418.69;0.01;B
C I;420.971;0.001;
C I;420.971;0.001;
C I;420.9905;0.001;
C I;420.9905;0.001;
C I;421.1115;0.001;
C I;421.1115;0.001;
C I;421.1613;0.0005;
C I;421.1817;0.001;
C I;421.1817;0.001;
C I;421.2342;0.001;
C I;421.2342;0.001;
C I;421.3074;0.0005;
C I;422.2466;0.001;
